Data;Onda_Hs_m;Onda_Tp_s;Onda_Dir_graus;Vento_U_m_s;Vento_V_m_s;Vento_Vel_10m_m_s;Vento_Dir_graus;Corr_U_m_s;Corr_V_m_s;Corr_Vel_m_s;Corr_Dir_graus;Heave_Max_m;Pitch_Max_graus;Roll_Max_graus;Status_ULS;Motivo_ULS;Status_SLS_Geral;Motivo_SLS;SLS_Guindaste;SLS_Helicoptero;SLS_Barco_Apoio;SLS_ROV;SLS_Offloading;SLS_Planta
2015-01-21;1.71;10.87;148.8;-0.49;0.67;0.83;126.0;-0.06;-0.02;0.06;196.2;0.27;0.06;0.24;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-22;2.22;8.73;166.0;-1.87;5.8;6.1;107.9;-0.13;0.02;0.14;171.9;0.12;0.09;0.16;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-23;2.46;9.32;158.6;-1.96;1.93;2.75;135.3;-0.05;-0.03;0.06;210.9;0.18;0.13;0.29;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-24;2.01;11.4;154.9;-1.23;-1.5;1.94;230.8;-0.04;-0.05;0.07;229.5;0.39;0.08;0.49;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-25;1.6;10.08;130.5;-2.29;-3.66;4.31;238.0;-0.06;-0.1;0.12;237.9;0.22;0.03;0.24;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-26;1.4;7.51;95.9;-1.42;-3.04;3.35;244.9;-0.06;-0.09;0.11;237.3;0.04;0.02;0.08;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-27;1.17;7.12;86.4;-2.6;-3.29;4.2;231.6;-0.06;-0.09;0.11;238.2;0.03;0.02;0.06;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-28;1.24;6.52;70.5;-3.47;-4.59;5.76;232.9;-0.05;-0.12;0.13;246.2;0.03;0.01;0.05;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-29;1.52;6.69;61.1;-1.32;-5.79;5.94;257.1;0.0;-0.1;0.1;272.4;0.03;0.02;0.04;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-30;1.75;8.04;133.0;-0.73;4.11;4.17;100.1;-0.11;0.03;0.11;164.8;0.09;0.01;0.2;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-31;2.29;11.18;180.2;-4.12;4.02;5.76;135.7;-0.08;-0.01;0.08;188.9;0.38;0.15;0.3;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-01;2.55;13.06;176.4;-5.6;1.0;5.69;169.9;-0.09;-0.07;0.12;218.3;0.94;0.13;0.45;Sobrevivencia Garantida;Dentro do Envelope ULS;Downtime Operacional;Barco de Apoio;Seguro;Seguro;Suspenso;Seguro;Seguro;Segura
2015-02-02;1.9;11.5;160.4;-4.66;-0.48;4.68;185.9;-0.12;-0.11;0.16;222.9;0.51;0.07;0.34;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-03;1.43;10.6;146.8;-3.51;-1.29;3.73;200.1;-0.12;-0.11;0.16;223.8;0.2;0.05;0.21;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-04;1.27;10.99;125.2;-3.28;-1.09;3.46;198.4;-0.1;-0.09;0.13;219.9;0.24;0.01;0.25;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-05;1.45;11.21;107.3;-2.61;-0.93;2.77;199.6;-0.07;-0.1;0.12;234.0;0.28;0.02;0.3;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-06;1.85;8.74;102.0;2.73;1.55;3.14;29.6;-0.04;0.01;0.04;165.7;0.1;0.03;0.21;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-07;1.76;8.83;122.6;2.96;1.43;3.29;25.8;-0.03;-0.01;0.03;190.0;0.1;0.0;0.24;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-08;1.74;9.13;152.0;-0.44;0.41;0.61;137.1;-0.07;-0.04;0.08;210.8;0.11;0.07;0.15;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-09;1.66;9.53;164.8;-3.48;-1.83;3.93;207.7;-0.09;-0.1;0.13;225.9;0.15;0.11;0.16;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-10;1.47;8.79;118.2;-3.51;-3.35;4.85;223.7;-0.08;-0.13;0.15;239.1;0.09;0.0;0.13;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-11;1.59;7.71;77.8;-3.27;-4.86;5.86;236.1;-0.07;-0.15;0.16;244.9;0.06;0.04;0.12;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-12;1.67;7.56;67.7;-2.81;-4.67;5.45;239.0;-0.02;-0.12;0.12;262.9;0.09;0.05;0.13;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-13;1.35;7.56;78.7;-0.92;-2.21;2.39;247.3;-0.03;-0.06;0.07;242.6;0.04;0.03;0.06;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-14;1.26;7.82;109.9;-1.79;1.19;2.15;146.4;-0.09;-0.02;0.1;193.1;0.08;0.01;0.14;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-15;1.59;6.97;122.7;-2.66;0.73;2.76;164.8;-0.05;-0.03;0.05;213.8;0.05;0.0;0.2;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-16;1.99;8.77;148.5;0.38;1.84;1.88;78.2;-0.03;0.03;0.04;128.6;0.1;0.06;0.19;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-17;1.97;10.28;154.6;-3.78;0.57;3.83;171.4;-0.08;-0.07;0.11;221.6;0.31;0.11;0.27;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-18;2.04;9.35;114.8;-2.97;-3.44;4.55;229.2;-0.04;-0.12;0.13;250.0;0.15;0.02;0.2;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-19;1.81;8.46;83.1;-1.99;-5.62;5.96;250.5;-0.04;-0.13;0.14;252.7;0.14;0.07;0.21;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-20;1.85;7.94;72.4;-2.86;-5.42;6.13;242.2;-0.03;-0.13;0.13;256.9;0.07;0.05;0.15;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-21;1.55;8.06;82.6;-3.34;-2.01;3.9;211.0;-0.07;-0.09;0.12;233.2;0.05;0.05;0.09;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-22;1.44;8.88;113.4;-4.24;-1.05;4.37;193.9;-0.07;-0.09;0.11;232.5;0.12;0.01;0.2;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-23;1.41;8.65;124.0;-4.63;-1.91;5.01;202.4;-0.09;-0.13;0.16;235.1;0.06;0.01;0.11;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-24;1.45;8.11;97.2;-4.13;-3.47;5.39;220.0;-0.09;-0.15;0.18;237.9;0.05;0.02;0.09;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-25;1.42;6.91;80.4;-2.31;-4.04;4.66;240.2;-0.06;-0.12;0.13;241.6;0.04;0.02;0.11;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-26;1.19;7.75;90.7;0.2;-1.08;1.1;280.3;-0.07;-0.04;0.08;210.2;0.05;0.02;0.08;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-27;0.93;8.73;99.4;0.79;-0.64;1.02;320.8;-0.04;-0.05;0.06;230.8;0.08;0.02;0.16;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-02-28;1.32;7.35;156.6;-0.15;4.7;4.7;91.8;-0.12;0.03;0.13;168.3;0.04;0.02;0.07;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-01;2.17;9.9;167.1;-5.78;2.58;6.33;155.9;-0.1;-0.09;0.14;221.2;0.28;0.15;0.2;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-02;2.23;12.07;163.5;-6.06;-1.35;6.21;192.6;-0.11;-0.13;0.17;231.2;0.59;0.11;0.39;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-03;1.9;11.05;137.2;-5.23;-2.47;5.78;205.3;-0.14;-0.17;0.22;230.6;0.34;0.04;0.45;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-04;1.57;8.04;112.3;-5.26;-2.13;5.68;202.0;-0.14;-0.16;0.21;230.3;0.1;0.01;0.32;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-05;1.49;8.64;96.4;-3.89;-3.38;5.15;221.0;-0.1;-0.14;0.18;234.2;0.08;0.04;0.12;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-06;1.46;9.7;91.8;-2.29;-2.46;3.36;227.0;-0.07;-0.1;0.12;235.4;0.13;0.07;0.18;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-07;1.31;9.26;96.5;-1.44;-0.38;1.49;194.7;-0.05;-0.04;0.06;221.9;0.09;0.04;0.22;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-08;1.22;8.18;110.9;-2.95;-1.16;3.17;201.4;-0.07;-0.09;0.11;233.1;0.05;0.01;0.13;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-09;1.32;7.56;102.1;-1.82;-1.1;2.13;211.2;-0.08;-0.12;0.14;236.5;0.04;0.01;0.14;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-10;1.55;8.1;92.8;1.27;-1.97;2.34;302.8;-0.02;-0.07;0.07;253.9;0.07;0.03;0.12;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
